ISIN	Fullname	Index	TER	PEA?	AUM	Replication	Div. freq.	Last div	Quote	Ticker
FR0010411884	Lyxor CAC 40 Daily Double Short UCITS ETF 	CAC 40	0.600%	Yes	100-500 M€	Synthetic	Capitalisation	NH	6.56 €	BX4
LU0599612842	OSSIAM iSTOXXEUROPE MINIMUM VARIANCE NR UCITS ET 	iSTOXX Europe Minimum Variance	0.650%	Yes	100-500 M€	Synthetic	Capitalisation	NH	155.35 €	EUMV
IE0032077012	PowerShares EQQQ Nasdaq-100 UCITS ETF 	NASDAQ-100	0.270%	No	+500 M€	Physical	Quarterly	0.23€ the 29/12/2016	116.73 €	QQQ
IE00B23D8S39	PowerShares FTSE RAFI US 1000 UCITS ETF 	FTSE RAFI US 1000	0.500%	No	100-500 M€	Physical	Capitalisation	0.06€ the 29/12/2016	15.74 €	PFT
IE00B466KX20	SPDR MSCI EM Asia UCITS ETF 	MSCI EM Asia	0.650%	No	100-500 M€	Physical	Capitalisation	NH	47.65 €	EMAE
NL0010273801	Think iBoxx AAA-AA Government Bond UCITS ETF 	iBoxx Gov AAA-AA 1-5 Index	0.150%	No	100-500 M€	Physical	Quarterly	0.13€ the 21/12/2016	23.61 €	TAT
NL0009690221	Think Global Equity UCITS ETF 	Think Global Equity	0.200%	No	100-500 M€	Physical	Quarterly	0.20€ the 21/12/2016	38.53 €	TGET
LU0446734872	UBS ETF - MSCI CANADA UCITS ETF (CAD) A-DIS 	MSCI Canada	0.330%	No	100-500 M€	Physical	-	0.27€ the 29/07/2016	28.61 €	UIM9
IE00B3RBWM25	Vanguard FTSE All-World UCITS ETF 	FTSE All-World Index	0.250%	No	+500 M€	Physical	Quarterly	0.27€ the 15/12/2016	67.25 €	VWRL
IE00B3XXRP09	Vanguard S&P 500 UCITS ETF 	S&P 500 Index	0.090%	No	+500 M€	Physical	Quarterly	0.18€ the 15/12/2016	40.73 €	VUSA
IE0031091428	AMUNDI ETF MSCI EUROPE DR UCITS ETF 	MSCI Europe	0.350%	Yes	50-100 M€	Physical	Capitalisation	NH	220.30 €	AMEU
IE0032523478	ISHARES E CORP BD 	iShares Markit iBoxx Euro Corp	0.200%	No	<50 M€	Physical	Quarterly	0.38€ the 15/12/2016	134.85 €	IBCX
IE0031442068	ISHARES S&P 500 	S&P 500	0.400%	No	<50 M€	Physical	Quarterly	0.08€ the 15/12/2016	21.33 €	IUSA
IE00B1FZSC47	iShares S TIPS UCITS ETF USD (Acc) 	Barclays US Gov Inflation Link	0.250%	No	<50 M€	Physical	Capitalisation	NH	189.60 €	TPSA
LU0508799334	ComStage Commerzbank Bund-Future TR UCITS ETF 	UNKNOWN	0.20%	?	EUR17m	Synthetic	Accumulating	UNKNOWN	UNKNOWN	ETF560
LU0603933895	ComStage DivDax TR UCITS ETF 	UNKNOWN	0.25%	?	EUR51m	Synthetic	Accumulating	UNKNOWN	UNKNOWN	ETF003
LU0392495882	ComStage MSCI USA Large Cap TRN UCITS ETF 	UNKNOWN	0.25%	?	EUR29m	Synthetic	Accumulating	UNKNOWN	UNKNOWN	ETF121
LU0488317701	ComStage NYSE Arca Gold BUGS UCITS ETF 	UNKNOWN	0.65%	?	EUR221m	Synthetic	Accumulating	UNKNOWN	UNKNOWN	ETF091
LU0603942888	ComStage SDAX TR UCITS ETF 	UNKNOWN	0.70%	?	EUR62m	Synthetic	Accumulating	UNKNOWN	UNKNOWN	ETF005
LU0392496773	ComStage Topix UCITS ETF 	UNKNOWN	0.25%	?	EUR9m	Synthetic	Accumulating	UNKNOWN	UNKNOWN	ETF021
LU0659579063	db x-trackers ATX UCITS ETF (DR) 1C 	UNKNOWN	0.25%	?	EUR190m	Physical	Accumulating	UNKNOWN	UNKNOWN	DBX0KJ
LU0779800910	db x-trackers CSI 300 UCITS ETF 1C 	UNKNOWN	0.50%	?	EUR230m	Synthetic	Accumulating	UNKNOWN	UNKNOWN	DBX0M2
LU0839027447	db x-trackers Nikkei 225 UCITS ETF (DR) 1D 	UNKNOWN	0.09%	?	EUR356m	Physical	Distributing	UNKNOWN	UNKNOWN	DBX0NJ
LU0292106241	db x-trackers ShortDAX Daily UCITS ETF 1C 	UNKNOWN	0.40%	?	EUR287m	Synthetic	Accumulating	UNKNOWN	UNKNOWN	DBX1DS
LU0411075020	db x-trackers ShortDAX x2 Daily UCITS ETF 1C 	UNKNOWN	0.60%	?	EUR81m	Synthetic	Accumulating	UNKNOWN	UNKNOWN	DBX0BY
