ISIN	Fullname	Index	TER	PEA?	AUM	Replication	Div. freq.	Last div	Quote	Ticker
US4642865178	iShares Emerging Markets Local Currency Bond ETF (USD)	BBgBarc EM Local Currency Broad TR USD	0.50%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 43.77	LEMB
US4642878619	iShares Europe ETF (USD)	S&P Europe 350 NR USD	0.60%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 39.66	IEV
US46429B6552	iShares Floating Rate Bond ETF (USD)	BBgBarc USFRN 5- Yr TR USD	0.20%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 50.72	FLOT
US4642884898	iShares International Developed Real Estate ETF (USD)	FTSE EPRA/NAREIT Developed Ex US NR USD	0.48%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 26.75	IFGL
US4642875722	iShares Global 100 ETF (USD)	S&P Global 100 NR USD	0.40%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 77.79	IOO
US4642887370	iShares Global Consumer Staples ETF (USD)	S&P Global 1200 Cons Staples Sec NR USD	0.48%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 93.20	KXI
US4642887453	iShares Global Consumer Discretionary ETF (USD)	S&P Global 1200 Cons Dscrtnry Sec NR USD	0.48%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 92.97	RXI
US4642873412	iShares Global Energy ETF (USD)	S&P Global 1200 Energy Sector NR USD	0.48%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 34.91	IXC
US4642873339	iShares Global Financials ETF (USD)	S&P Global 1200 Financials NR USD	0.48%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 58.44	IXG
US4642873255	iShares Global Healthcare ETF (USD)	S&P Global 1200 Healthcare Sector NR USD	0.48%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 96.95	IXJ
US4642887297	iShares Global Industrials ETF (USD)	S&P Global 1200 Industrials NR USD	0.48%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 76.94	EXI
US4642883726	iShares Global Infrastructure ETF (USD)	S&P Global Infrastructure NR USD	0.48%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 39.93	IGF
US4642886950	iShares Global Materials ETF (USD)	S&P Global 1200 Materials Sector NR USD	0.48%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 57.60	MXI
US4642872919	iShares Global Tech ETF (USD)	S&P Global 1200 Information Tech NR USD	0.48%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 113.19	IXN
US4642872752	iShares Global Telecom ETF (USD)	S&P Global 1200 Telecom Sec NR USD	0.48%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 60.21	IXP
US4642887115	iShares Global Utilities ETF (USD)	S&P Global 1200 Utilities Sector NR USD	0.48%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 45.45	JXI
US4642851053	iShares Gold Trust (USD)	LBMA Gold Price PM USD	0.25%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 11.71	IAU
US46428R1077	iShares S&P GSCI Commodity- Indexed Trust (USD)	S&P GSCI TR USD	0.75%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 15.62	GSG
US46429B6636	iShares Core High Dividend ETF (USD)	Morningstar Dividend Yield Focus TR USD	0.08%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 82.08	HDV
US4642885135	iShares iBoxx $ High Yield Corporate Bond ETF (USD)	Markit iBoxx Liquid High Yield TR USD	0.50%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 87.23	HYG
US4642872422	iShares iBoxx $ Investment Grade Corporate Bond ETF (USD)	Markit iBoxx Liquid IG TR USD	0.15%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 118.29	LQD
US4642886380	iShares Intermediate Credit Bond ETF (USD)	BBgBarc US Interm Credit TR USD	0.20%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 108.87	CIU
US4642886125	iShares Intermediate Government/Credit Bond ETF (USD)	BBgBarc US Govt/Credit Interm TR USD	0.20%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 110.27	GVI
US4642884484	iShares International Select Dividend ETF (USD)	DJ EPAC Select Dividend TR USD	0.50%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 30.59	IDV
US4642882819	iShares J.P. Morgan USD Emerging Markets Bond ETF (USD)	JPM EMBI Global Core TR USD	0.60%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 112.62	EMB
US00768Y5033	AdvisorShares Peritus High Yield ETF (USD)	Not Benchmarked	1.10%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 36.12	HYLD
US00162Q8666	Alerian MLP ETF (USD)	Alerian MLP Infrastructure TR USD	0.85%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 12.78	AMLP
US06742C7231	Barclays ETN+ Select MLP ETN (USD)	Atlantic Trust Select MLP TR USD	0.95%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 23.82	ATMP
US06740C3372	Barclays ETN+ S&P VEQTOR™ ETN (USD)	S&P 500 Dynamic VEQTOR TR USD	0.95%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 137.97	VQT
US00162Q7262	Barron's 400 ETF (USD)	Barrons 400 TR USD	0.65%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 35.05	BFOR
US00162Q8583	ALPS Sector Dividend Dogs ETF (USD)	S-Network Sector Dividend Dogs TR USD	0.40%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 42.47	SDOG
US06742C1291	Barclays ETN+ FI Enhanced Europe 50 ETN (USD)	STOXX Europe 50 GR USD	n/a	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 91.72	FEEU
US06742C1523	Barclays ETN+ FI Enhanced Global High Yield ETN (USD)	MSCI World High Dividend Yield GR USD	n/a	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 132.93	FIGY
US1320612013	Cambria Shareholder Yield ETF (USD)	Not Benchmarked	0.59%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 32.78	SYLD
US19762B5093	Columbia Emerging Markets Consumer ETF (USD)	DJ EM Consumer Titans 30 TR USD	0.85%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 22.89	ECON
US25459Y6784	Direxion Daily 20+ Year Treasury Bear 3X Shares (USD)	ICE U.S. Treasury 20+ Year Bond TR USD	0.75%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 22.01	TMV
US25490K1337	Direxion Daily Gold Miners Index Bear 3X Shares (USD)	NYSE Arca Gold Miners TR USD	0.75%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 33.16	DUST
US25459W8626	Direxion Daily S&P500® Bull 3X Shares (USD)	S&P 500 TR USD	0.75%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 111.43	SPXL
US25459Y3716	Direxion Daily S&P 500® Bear 3X Shares (USD)	S&P 500 TR USD	0.75%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 10.42	SPXS
US25490K5213	Direxion Daily Small Cap Bear 3X Shares (USD)	Russell 2000 TR USD	0.75%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 19.96	TZA
US25459W8477	Direxion Daily Small Cap Bull 3X Shares (USD)	Russell 2000 TR USD	0.75%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 99.53	TNA
US8702976031	ELEMENTS Linked to the Rogers International Commodity Index - Agriculture Total Return (USD)	Rogers Intl Commodity Agriculture TR USD	0.75%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 6.63	RJA
DE000A0KRJU0	ETFS Copper ETC (EUR)	Bloomberg Sub Copper TR USD	0.49%	?	USD 200.27	UNKNOWN	UNKNOWN	UNKNOWN	EUR 23.69	OD7C
DE000A0KRKB8	ETFS Agriculture ETC (EUR)	Bloomberg Sub Agriculture TR USD	0.49%	?	USD 233.31	UNKNOWN	UNKNOWN	UNKNOWN	EUR 5.11	OD7U
DE000A0KRKC6	ETFS All Commodities ETC (EUR)	Bloomberg Commodity TR USD	0.49%	?	USD 396.93	UNKNOWN	UNKNOWN	UNKNOWN	EUR 8.40	OD7V
DE000A0KRKG7	ETFS Industrial Metals ETC (EUR)	Bloomberg Sub Industrial Metals TR USD	0.49%	?	USD 222.21	UNKNOWN	UNKNOWN	UNKNOWN	EUR 10.28	OD7Z
DE000A0KRJ36	ETFS Natural Gas ETC (EUR)	Bloomberg Sub Natural Gas TR USD	0.49%	?	USD 59.34	UNKNOWN	UNKNOWN	UNKNOWN	EUR 0.05	OD7L
DE000A0KRJX4	ETFS Crude Oil ETC (EUR)	Bloomberg Sub WTI Crude Oil TR USD	0.49%	?	USD 811.63	UNKNOWN	UNKNOWN	UNKNOWN	EUR 7.56	OD7F
DE000A0V9X25	ETFS 1x Daily Short Lean Hogs ETC (EUR)	Bloomberg Sub Lean Hogs TR USD	0.98%	?	USD 0.17	UNKNOWN	UNKNOWN	UNKNOWN	EUR 76.06	4RTB
DE000A0KRKM5	ETFS Brent Oil 1 month ETC (EUR)	ICE 1 M Brent oil futures TR USD	0.49%	?	USD 370.52	UNKNOWN	UNKNOWN	UNKNOWN	EUR 22.65	OESA
US3159128087	Fidelity® NASDAQ Composite Index® Tracking Stock Fund (USD)	NASDAQ Composite TR USD	0.24%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 217.95	ONEQ
US33733E5006	First Trust NASDAQ® Clean Edge® Green Energy Index Fund (USD)	NASDAQ Clean Edge Green Energy TR	0.40%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 15.73	QCLN
US33733B1008	First Trust Water ETF (USD)	ISE Water TR USD	0.40%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 39.79	FIW
US33738D1019	First Trust North American Energy Infrastructure Fund (USD)	Not Benchmarked	0.95%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 25.64	EMLP
US33939L4077	FlexShares Morningstar Global Upstream Natural Resources Index Fund (USD)	Morningstar Gbl Upstm Nat Res TR USD	0.46%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 29.88	GUNR
US33939L5066	FlexShares iBoxx 3-Year Target Duration TIPS Index Fund (USD)	Markit iBoxx 3 Yr Trgt Durtn TIPS TR USD	0.20%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 24.80	TDTT
US33939L6056	FlexShares iBoxx 5-Year Target Duration TIPS Index Fund (USD)	Markit iBoxx 5 Yr Trgt Durtn TIPS TR USD	0.20%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 25.18	TDTF
US33939L1008	FlexShares Morningstar US Market Factors Tilt Index Fund (USD)	Morningstar US Mkt Factor Tilt TR USD	0.25%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 97.00	TILT
US33939L8037	FlexShares Morningstar Developed Markets ex-US Factor Tilt Index Fund (USD)	Morningstar DM xUS Ft Tilt NR USD	0.39%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 58.09	TLTD
US33939L3087	FlexShares Morningstar Emerging Markets Factor Tilt Index Fund (USD)	Morningstar EM Ft Tilt NR USD	0.59%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 47.82	TLTE
US33939L8607	FlexShares Quality Dividend Index Fund (USD)	Northern Trust Quality Dividend TR USD	0.37%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 39.61	QDF
US37950E3669	Global X MSCI Greece ETF (USD)	MSCI All Greece Select 25-50 NR USD	0.55%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 7.95	GREK
US37950E3412	Global X Guru™ Index ETF (USD)	Solactive Guru TR USD	0.75%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 24.54	GURU
US37950E5490	Global X SuperDividend™ ETF (USD)	Solactive Global SuperDividend TR USD	0.58%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 21.43	SDIV
US38144L8524	GS Connect S&P GSCI Enhanced Commodity Total Return ETN (USD)	S&P GSCI Enhanced Commodity TR USD	1.25%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 23.59	GSC
US18383M1009	Guggenheim BRIC ETF (USD)	BNY Mellon BRIC Select DR TR USD	0.50%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 30.48	EEB
US18383M5489	Guggenheim BulletShares 2017 Corporate Bond ETF (USD)	NASDAQ Bulletshares USD Corp 2017 TR USD	0.24%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 22.61	BSCH
US18383M5307	Guggenheim BulletShares 2018 Corporate Bond ETF (USD)	NASDAQ Bulletshares USD Corp 2018 TR USD	0.24%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 21.22	BSCI
US18383M3997	Guggenheim BulletShares 2017 High Yield Corporate Bond ETF (USD)	NASDAQ BulletShares USD HY Cp2017 TR USD	0.42%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 25.85	BSJH
US18383M3815	Guggenheim BulletShares 2018 High Yield Corporate Bond ETF (USD)	NASDAQ BulletShares USD HY Cp2018 TR USD	0.42%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 25.31	BSJI
US18383M6545	Guggenheim Enhanced Short Duration ETF (USD)	Not Benchmarked	0.20%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 50.14	GSY
US18383M2098	Guggenheim Insider Sentiment ETF (USD)	NASDAQ US Insider Sentiment USD	0.50%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 50.15	NFO
US18383M5067	Guggenheim Multi-Asset Income ETF (USD)	Zacks Multi-Asset Income TR USD	0.50%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 20.48	CVY
US78355W8414	Guggenheim S&P 500® Equal Weight Health Care ETF (USD)	S&P 500 Equal Weighted HC TR USD	0.40%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 150.77	RYH
US78355W8174	Guggenheim S&P 500® Equal Weight Technology ETF (USD)	S&P 500 Equal Weighted IT TR USD	0.40%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 111.17	RYT
US18383Q5071	Guggenheim S&P Global Water Index ETF (USD)	S&P Global Water TR	0.50%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 29.04	CGW
US78355W6012	Guggenheim S&P MidCap 400® Pure Growth ETF (USD)	S&P MidCap 400 Pure Growth TR USD	0.35%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 129.83	RFG
US78355W7002	Guggenheim S&P SmallCap 600® Pure Value ETF (USD)	S&P SmallCap 600 Pure Value TR USD	0.35%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 72.60	RZV
US18383M6057	Guggenheim S&P Spin-Off ETF (USD)	S&P US Spin-Off TR USD	0.50%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 43.86	CSD
US18383Q8794	Guggenheim MSCI Global Timber ETF (USD)	MSCI ACWI IMI Timber Select Cap GR USD	0.50%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 25.43	CUT
US18383M6131	Guggenheim Raymond James SB-1 Equity ETF (USD)	RaymondJames SB1 Equity Incorp TR USD	0.75%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 38.82	RYJ
US45409B1070	IQ Hedge Multi-Strategy Tracker ETF (USD)	IQ Hedge Multi-Strategy TR USD	0.75%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 28.78	QAI
US06739F2911	iPath® MSCI India Index(SM) ETN (USD)	MSCI India GR USD	0.89%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 64.67	INP
US06738C7864	iPath® S&P GSCI® Crude Oil Total Return Index ETN (USD)	S&P GSCI Crude Oil TR	0.75%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 6.13	OIL
US06739H2976	iPath® Bloomberg Coffee Subindex Total Return(SM) ETN (USD)	Bloomberg Sub Coffee TR USD	0.75%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 21.46	JO
US06738C7781	iPath® Bloomberg Commodity Index Total Return(SM) ETN (USD)	Bloomberg Commodity TR USD	0.75%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 24.63	DJP
US46429B7477	iShares 0-5 Year TIPS Bond ETF (USD)	BBgBarc U.S. Treasury TIPS 0-5Y TR USD	0.10%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 101.05	STIP
US4642898591	iShares Core Aggressive Allocation ETF (USD)	S&P Target Risk Aggressive TR USD	0.25%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 47.96	AOA
US4642884302	iShares Asia 50 ETF (USD)	S&P Asia 50 NR USD	0.50%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 48.64	AIA
US4642883569	iShares California Muni Bond ETF (USD)	S&P California AMT-Free Muni Bond TR USD	0.25%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 116.46	CMF
US4642898674	iShares Core Growth Allocation ETF (USD)	S&P Target Risk Growth TR USD	0.25%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 41.11	AOR
US4642884229	iShares International Developed Property ETF (USD)	S&P Developed Ex US Property NR USD	0.48%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 34.36	WPS
US4642885705	iShares MSCI KLD 400 Social ETF (USD)	MSCI KLD 400 Social GR USD	0.50%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 83.60	DSI
US4642873909	iShares Latin America 40 ETF (USD)	S&P Latin America 40 NR USD	0.50%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 29.40	ILF
US4642885887	iShares MBS ETF (USD)	BBgBarc US MBS TR USD	0.25%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 106.83	MBB
US4642888691	iShares Micro-Cap ETF (USD)	Russell Micro Cap TR USD	0.60%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 84.60	IWC
US4642898757	iShares Core Moderate Allocation ETF (USD)	S&P Target Risk Moderate TR USD	0.25%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 35.56	AOM
US4642871275	iShares Morningstar Large-Cap ETF (USD)	Morningstar US Large Core TR USD	0.20%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 134.71	JKD
US4642871192	iShares Morningstar Large-Cap Growth ETF (USD)	Morningstar US Large Growth TR USD	0.25%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 124.54	JKE
US4642881092	iShares Morningstar Large-Cap Value ETF (USD)	Morningstar US Large Val TR USD	0.25%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 93.78	JKF
US4642882082	iShares Morningstar Mid-Cap ETF (USD)	Morningstar US Mid Core TR USD	0.25%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 159.69	JKG
US4642883072	iShares Morningstar Mid-Cap Growth ETF (USD)	Morningstar US Mid Growth TR USD	0.30%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 166.14	JKH
US4642884062	iShares Morningstar Mid-Cap Value ETF (USD)	Morningstar US Mid Val TR USD	0.30%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 145.37	JKI
US4642885051	iShares Morningstar Small-Cap ETF (USD)	Morningstar US Small Core TR USD	0.25%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 155.88	JKJ
US4642887032	iShares Morningstar Small-Cap Value ETF (USD)	Morningstar US Small Val TR USD	0.30%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 143.39	JKL
US4642882405	iShares MSCI ACWI ex U.S. ETF (USD)	MSCI ACWI Ex USA NR USD	0.33%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 41.53	ACWX
US4642882579	iShares MSCI ACWI ETF (USD)	MSCI ACWI NR USD	0.33%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 60.51	ACWI
US4642865251	iShares Edge MSCI Min Vol Global ETF (USD)	MSCI ACWI Minimum Vol (USD) NR USD	0.32%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 73.80	ACWV
US4642881829	iShares MSCI All Country Asia ex Japan ETF (USD)	MSCI AC Asia Ex Japan NR USD	0.71%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 57.72	AAXJ
US4642898427	iShares MSCI All Peru Capped ETF (USD)	MSCI All Peru Capped NR USD	0.63%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 34.01	EPU
US4642861037	iShares MSCI Australia ETF (USD)	MSCI Australia NR USD	0.48%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 21.38	EWA
US4642864007	iShares MSCI Brazil Capped ETF (USD)	MSCI Brazil 25-50 NR USD	0.63%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 36.19	EWZ
US4642866572	iShares MSCI BRIC ETF (USD)	MSCI BRIC NR USD	0.72%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 33.50	BKF
US4642865095	iShares MSCI Canada ETF (USD)	MSCI Canada NR USD	0.48%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 27.16	EWC
US4642866408	iShares MSCI Chile Capped ETF (USD)	MSCI Chile IMI 25-50 NR USD	0.64%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 38.71	ECH
US4642874659	iShares MSCI EAFE ETF (USD)	MSCI EAFE NR USD	0.33%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 59.37	EFA
US4642888857	iShares MSCI EAFE Growth ETF (USD)	MSCI EAFE Growth NR USD	0.40%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 65.40	EFG
US46429B6891	iShares Edge MSCI Min Vol EAFE ETF (USD)	MSCI EAFE Minimum Vol (USD) NR USD	0.32%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 63.02	EFAV
US4642882736	iShares MSCI EAFE Small-Cap ETF (USD)	MSCI EAFE Small Cap NR USD	0.40%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 51.19	SCZ
US4642888774	iShares MSCI EAFE Value ETF (USD)	MSCI EAFE Value NR USD	0.40%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 48.68	EFV
US4642872349	iShares MSCI Emerging Markets ETF (USD)	MSCI EM NR USD	0.71%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 36.66	EEM
US4642865335	iShares Edge MSCI Min Vol Emerging Markets ETF (USD)	MSCI EM Minimum Vol (USD) NR USD	0.71%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 50.34	EEMV
US4642866085	iShares MSCI Eurozone ETF (USD)	MSCI EMU NR USD	0.48%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 35.36	EZU
US4642891802	iShares MSCI Europe Financials ETF (USD)	MSCI Europe/Financials NR USD	0.48%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 19.38	EUFN
US4642867075	iShares MSCI France ETF (USD)	MSCI France NR USD	0.48%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 25.22	EWQ
US4642861458	iShares MSCI Frontier 100 ETF (USD)	MSCI Frontier Markets 100 NR USD	0.79%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 27.01	FM
US4642868065	iShares MSCI Germany ETF (USD)	MSCI Germany NR USD	0.48%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 27.18	EWG
US4642868719	iShares MSCI Hong Kong ETF (USD)	MSCI Hong Kong NR USD	0.48%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 20.63	EWH
US46429B3096	iShares MSCI Indonesia ETF (USD)	MSCI Indonesia IMI NR USD	0.63%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 24.32	EIDO
US46429B5075	iShares MSCI Ireland Capped ETF (USD)	MSCI All Ireland Capped NR USD	0.48%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 38.36	EIRL
US4642882652	iShares MSCI Kokusai ETF (USD)	MSCI Kokusai (World Ex Japan) NR USD	0.25%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 55.96	TOK
US4642868222	iShares MSCI Mexico Capped ETF (USD)	MSCI Mexico IMI 25-50 NR USD	0.48%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 42.45	EWW
US4642868149	iShares MSCI Netherlands ETF (USD)	MSCI Netherlands IMI NR USD	0.48%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 24.54	EWN
US4642866655	iShares MSCI Pacific ex Japan ETF (USD)	MSCI Pacific Ex Japan NR USD	0.50%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 41.98	EPP
US46429B4086	iShares MSCI Philippines ETF (USD)	MSCI Philippines IMI NR USD	0.64%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 33.79	EPHE
US46429B6065	iShares MSCI Poland Capped ETF (USD)	MSCI Poland IMI 25-50 NR USD	0.64%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 19.36	EPOL
US4642867802	iShares MSCI South Africa ETF (USD)	MSCI South Africa NR USD	0.64%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 55.43	EZA
US4642867729	iShares MSCI South Korea Capped ETF (USD)	MSCI Korea 25-50 NR USD	0.64%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 57.08	EWY
US4642867646	iShares MSCI Spain Capped ETF (USD)	MSCI Spain 25-50 NR USD	0.48%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 27.27	EWP
US4642867562	iShares MSCI Sweden Capped ETF (USD)	MSCI Sweden 25/50 NR USD	0.48%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 29.33	EWD
US4642867497	iShares MSCI Switzerland Capped ETF (USD)	MSCI Switzerland 25-50 NR USD	0.48%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 30.36	EWL
US4642866242	iShares MSCI Thailand Capped ETF (USD)	MSCI Thailand IMI 25-50 NR USD	0.63%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 74.36	THD
US4642867158	iShares MSCI Turkey ETF (USD)	MSCI Turkey IMI NR USD	0.64%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 32.24	TUR
US4642888022	iShares MSCI USA ESG Select ETF (USD)	MSCI USA ESG Select GR USD	0.50%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 93.17	KLD
US46429B6974	iShares Edge MSCI Min Vol USA ETF (USD)	MSCI USA Minimum Volatility (USD) GR USD	0.15%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 45.68	USMV
US46432F3964	iShares Edge MSCI USA Momentum Factor ETF (USD)	MSCI USA Momentum GR USD	0.15%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 77.32	MTUM
US46432F3394	iShares Edge MSCI USA Quality Factor ETF (USD)	MSCI USA Sector Neutral Quality GR USD	0.15%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 69.70	QUAL
US4642875565	iShares Nasdaq Biotechnology ETF (USD)	NASDAQ Biotechnology TR USD	0.48%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 274.52	IBB
US4642884146	iShares National Muni Bond ETF (USD)	S&P National AMT Free Muni TR USD	0.25%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 109.23	MUB
US4642873743	iShares North American Natural Resources ETF (USD)	S&P North American Natural Resources TR	0.48%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 36.32	IGE
US4642875490	iShares North American Tech ETF (USD)	S&P North American Technology TR	0.48%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 127.63	IGM
